breed,breed_suffix,replicate_num,n_founders,n_males,n_females,total_alleles,alleles_per_locus,expected_heterozygosity,observed_heterozygosity,effective_alleles,fis,fis_global,mean_outlier_index,mean_internal_relatedness,mean_avg_genetic_relatedness
Doberman Pinscher,dp,40,200,100,100,192,5.8182,0.5033,0.48288,2.3268,0.03809,0.04057,0.26884,0.04377,-0.032194
Doberman Pinscher,dp,41,200,100,100,202,6.1212,0.50322,0.47939,2.3102,0.04562,0.04734,0.21391,0.05103,-0.034656
Doberman Pinscher,dp,42,200,100,100,185,5.6061,0.50165,0.48167,2.3097,0.04564,0.03984,0.23397,0.04292,-0.032305
Doberman Pinscher,dp,43,200,100,100,190,5.7576,0.50018,0.49182,2.3077,0.01813,0.01672,0.25182,0.01893,-0.017095
Doberman Pinscher,dp,44,200,100,100,197,5.9697,0.50305,0.47848,2.3019,0.0454,0.04884,0.22784,0.05152,-0.038615
Doberman Pinscher,dp,45,200,100,100,193,5.8485,0.50675,0.48333,2.345,0.04421,0.04621,0.26141,0.0492,-0.035643
Doberman Pinscher,dp,46,200,100,100,197,5.9697,0.49556,0.47121,2.2818,0.04732,0.04913,0.24814,0.05086,-0.037528
Doberman Pinscher,dp,47,200,100,100,205,6.2121,0.50074,0.48045,2.3105,0.03808,0.04051,0.2154,0.04366,-0.034815
Doberman Pinscher,dp,48,200,100,100,196,5.9394,0.50187,0.48485,2.3148,0.03336,0.03393,0.24949,0.03672,-0.025322
Doberman Pinscher,dp,49,200,100,100,203,6.1515,0.50924,0.48258,2.3369,0.05124,0.05236,0.20732,0.05623,-0.04186
Doberman Pinscher,dp,50,200,100,100,203,6.1515,0.50778,0.48348,2.3191,0.04506,0.04784,0.22764,0.05153,-0.038208
Flat-Coated Retriever,fcr,1,200,100,100,169,5.1212,0.55401,0.55758,2.5648,-0.00947,-0.00644,0.4056,-0.00442,0.000776
Flat-Coated Retriever,fcr,2,200,100,100,166,5.0303,0.55425,0.55727,2.5539,-0.00169,-0.00546,0.39081,-0.00303,-0.000613
Flat-Coated Retriever,fcr,3,200,100,100,163,4.9394,0.55291,0.55576,2.5675,-0.00694,-0.00516,0.3792,-0.00286,-0.000316
Flat-Coated Retriever,fcr,4,200,100,100,165,5.0,0.5524,0.55273,2.5546,0.00396,-0.0006,0.39251,0.00147,-0.003337
Flat-Coated Retriever,fcr,5,200,100,100,168,5.0909,0.54803,0.55515,2.532,-0.00806,-0.01299,0.36258,-0.01075,0.004717
Flat-Coated Retriever,fcr,6,200,100,100,167,5.0606,0.55162,0.55697,2.5464,-0.00595,-0.00969,0.38648,-0.00779,0.002465
Flat-Coated Retriever,fcr,7,200,100,100,168,5.0909,0.55094,0.55106,2.5554,0.0103,-0.00022,0.36506,0.00206,-0.002998
Flat-Coated Retriever,fcr,8,200,100,100,169,5.1212,0.55405,0.56333,2.571,-0.01857,-0.01676,0.37672,-0.0151,0.005638
Flat-Coated Retriever,fcr,9,200,100,100,167,5.0606,0.55387,0.55697,2.555,-0.00165,-0.00559,0.39086,-0.00339,0.002178
Flat-Coated Retriever,fcr,10,200,100,100,168,5.0909,0.55306,0.55545,2.5621,-0.00537,-0.00434,0.4021,-0.00177,-0.001563
Flat-Coated Retriever,fcr,11,200,100,100,166,5.0303,0.55336,0.55848,2.5584,-0.00857,-0.00926,0.39022,-0.00692,0.001522
