study_code,mcb_pct,oi,agr
SP174,65.99,0.1788,0.0794
SP175,48.23,0.1338,0.0229
SP176,19.37,0.2448,0.0211
SP177,31.49,0.2088,-0.0081
SP178,23.87,0.2407,-0.0484
SP179,33.44,0.5025,-0.1558
SP180,65.49,0.2629,-0.0157
SP181,56.96,0.254,-0.0417
SP182,50.26,0.2763,-0.0563
SP183,56.48,0.2488,-0.0152
SP184,64.47,0.1435,0.0672
SP185,33.62,0.3295,-0.1213
SP186,74.46,0.1483,0.076
SP187,60.7,0.2341,0.0005
SP188,40.39,0.3006,-0.0499
SP189,62.62,0.202,0.0178
SP190,38.66,0.4697,-0.12
SP191,74.08,0.2763,0.0376
SP192,31.16,0.6084,-0.1623
SP193,57.19,0.3466,-0.0389
SP194,51.35,0.2529,-0.0673
SP195,42.54,0.3466,-0.027
SP196,17.3,0.4697,-0.1447
SP197,66.7,0.2088,0.0305
SP198,35.56,0.1909,0.0167
SP199,17.49,0.4773,-0.1425
SP200,74.6,0.2155,0.0042
SP201,80.38,0.1133,0.0797
SP202,46.37,0.2909,-0.0139
SP203,61.3,0.2629,-0.0378
SP204,20.44,0.5614,-0.1723
SP205,25.17,0.3821,-0.1571
SP206,59.82,0.2812,-0.0746
SP207,39.76,0.2861,0.0109
SP208,33.94,0.2121,-0.0693
SP209,64.75,0.1596,0.0139
SP210,46.86,0.2304,-0.0332
SP211,38.95,0.4242,-0.1015
SP212,45.21,0.223,-0.0148
SP213,32.14,0.3154,-0.0492
SP214,55.31,0.1818,0.0378
SP215,57.13,0.2674,-0.0301
SP216,33.94,0.3259,-0.0333
SP217,36.97,0.3125,-0.0671
SP218,71.65,0.2088,0.0144
SP219,55.77,0.1848,-0.0415
SP220,29.27,0.3207,-0.0762
SP221,59.04,0.2448,-0.0164
SP222,44.52,0.4863,-0.1516
SP223,69.87,0.2909,-0.0445
SP224,50.27,0.3523,-0.1192
SP225,56.34,0.2958,-0.0393
SP226,43.72,0.3295,-0.1865
SP227,63.47,0.1115,0.0728
SP228,64.23,0.2193,0.0032
SP229,54.4,0.2088,0.0385
SP230,19.87,0.7244,-0.2223
SP231,42.71,0.2807,-0.0451
SP232,32.22,0.3006,-0.0502
SP233,74.55,0.1435,0.0266
SP234,46.55,0.2674,-0.0295
SP235,34.8,0.3736,-0.0652
SP236,74.55,0.1507,0.0456
SP237,46.85,0.3409,-0.0827
SP238,59.65,0.1296,0.0511
SP239,29.89,0.3409,-0.0301
SP240,38.9,0.2341,-0.0863
SP241,65.92,0.2674,0.0087
SP242,73.97,0.1483,0.0846
SP243,17.49,0.5728,-0.1796
SP244,27.69,0.2958,-0.0426
SP245,51.57,0.2958,-0.0502
SP246,21.53,0.3006,-0.1191
SP247,43.57,0.2861,0.0104
SP248,15.41,0.3614,-0.0753
SP249,63.0,0.0635,0.0676
SP250,74.38,0.1705,0.0127
SP251,62.08,0.202,0.0033
SP252,56.57,0.2,-0.0214
SP253,66.33,0.0758,0.1149
SP254,60.96,0.1909,0.0111
SP255,73.29,0.2118,0.0311
SP256,42.78,0.1879,-0.0362
SP257,67.91,0.2529,-0.0332
SP258,17.49,0.3103,-0.0837
SP259,34.8,0.4384,-0.079
SP260,72.42,0.1879,-0.0008
SP261,42.98,0.3409,-0.0879
SP262,66.34,0.2088,0.0853
SP263,27.64,0.2674,-0.0195
SP264,60.28,0.2585,-0.055
SP265,63.9,0.1275,0.0547
SP266,35.72,0.2448,-0.022
SP267,73.29,0.1953,0.003
SP268,54.29,0.2088,0.0044
SP269,67.57,0.2155,0.0006
SP270,64.73,0.1909,0.0384
SP271,38.44,0.3154,-0.0822
SP272,67.68,0.2054,0.0229
SP273,66.94,0.2718,0.0065
SP274,65.83,0.1133,0.0939
SP275,56.57,0.2121,0.0019
SP276,51.87,0.1507,0.0295
SP277,41.59,0.3101,-0.0747
SP278,15.41,0.3614,-0.1365
SP279,71.19,0.1705,0.0253
SP280,71.96,0.223,0.0705
SP281,72.72,0.2718,-0.0112
SP282,45.54,0.1732,0.0503
SP283,66.28,0.1483,0.0269
SP284,36.26,0.3006,-0.1126
SP285,30.12,0.4172,-0.1134
SP286,79.06,0.2054,-0.0462
SP287,37.38,0.3364,-0.0652
SP288,49.82,0.1848,0.06
SP289,47.71,0.3259,-0.0266
SP290,47.24,0.2812,-0.0143
SP291,45.21,0.3006,-0.0629
SP292,57.36,0.2267,-0.0718
SP293,66.49,0.1338,0.068
SP294,49.32,0.223,-0.0134
SP295,70.22,0.1623,-0.0004
SP296,42.99,0.2909,-0.0576
SP297,35.82,0.1459,-0.0186
SP298,23.24,0.2674,-0.0214
SP299,51.71,0.1909,-0.0061
SP300,57.65,0.3553,-0.0461
SP301,51.46,0.2812,-0.0133
SP302,35.88,0.165,0.019
SP303,55.26,0.1987,0.0293
