breed,replicate_num,anon_id,gender,oi,ir,agr
Doberman Pinscher,1,DP0007,F,0.3049,0.038,-0.135793
Doberman Pinscher,1,DP0010,F,0.3677,0.3474,-0.300727
Doberman Pinscher,1,DP0019,M,0.2958,-0.1209,-0.118747
Doberman Pinscher,1,DP0020,M,0.2088,0.2856,-0.132401
Doberman Pinscher,1,DP0022,M,0.2267,0.1083,-0.071042
Doberman Pinscher,1,DP0028,F,0.1133,0.1637,0.021398
Doberman Pinscher,1,DP0029,M,0.223,0.1617,-0.060281
Doberman Pinscher,1,DP0030,M,0.2629,-0.2087,-0.021597
Doberman Pinscher,1,DP0036,M,0.1411,0.2172,0.021177
Doberman Pinscher,1,DP0037,F,0.2054,0.2053,-0.038908
Doberman Pinscher,1,DP0051,M,0.254,-0.1534,-0.027505
Doberman Pinscher,1,DP0053,M,0.2366,0.1339,-0.021276
Doberman Pinscher,1,DP0056,M,0.1459,0.057,0.043989
Doberman Pinscher,1,DP0059,F,0.1623,0.2307,-0.047559
Doberman Pinscher,1,DP0061,M,0.2585,-0.1895,-0.037488
Doberman Pinscher,1,DP0063,F,0.1623,0.2244,-0.004016
Doberman Pinscher,1,DP0064,M,0.3049,-0.1014,-0.030999
Doberman Pinscher,1,DP0065,M,0.2193,-0.0879,-0.001545
Doberman Pinscher,1,DP0073,M,0.5195,-0.0883,-0.240117
Doberman Pinscher,1,DP0083,M,0.2267,-0.0167,0.017071
Doberman Pinscher,1,DP0092,F,0.1788,0.1414,-0.042023
Doberman Pinscher,1,DP0094,F,0.165,-0.1097,0.063984
Doberman Pinscher,1,DP0098,F,0.1879,-0.0203,0.00479
Doberman Pinscher,1,DP0100,M,0.2996,-0.2866,0.075888
Doberman Pinscher,1,DP0112,F,0.2715,-0.1228,0.02776
Doberman Pinscher,1,DP0113,F,0.4242,-0.0006,-0.215231
Doberman Pinscher,1,DP0118,F,0.1623,0.1753,-0.037166
Doberman Pinscher,1,DP0119,F,0.2267,0.1545,-0.176223
Doberman Pinscher,1,DP0120,M,0.4318,0.03,-0.169462
Doberman Pinscher,1,DP0123,F,0.1848,0.2019,-0.05727
Doberman Pinscher,1,DP0124,F,0.1388,0.1568,0.038209
Doberman Pinscher,1,DP0131,F,0.5712,0.1672,-0.331988
Doberman Pinscher,1,DP0136,F,0.1115,0.0843,0.073836
Doberman Pinscher,1,DP0138,F,0.2325,0.0737,-0.106325
Doberman Pinscher,1,DP0148,M,0.2715,0.1779,-0.13394
Doberman Pinscher,1,DP0149,F,0.202,-0.0277,0.036594
Doberman Pinscher,1,DP0153,M,0.2488,-0.1812,0.057192
Doberman Pinscher,1,DP0158,F,0.1677,0.206,-0.041453
Doberman Pinscher,1,DP0161,F,0.3491,0.0206,-0.148005
Doberman Pinscher,1,DP0170,F,0.1705,0.2939,-0.039295
Doberman Pinscher,1,DP0171,M,0.3491,-0.1234,-0.143134
Doberman Pinscher,1,DP0177,M,0.1987,0.0746,-0.073613
Doberman Pinscher,1,DP0182,F,0.202,0.1999,-0.06915
Doberman Pinscher,1,DP0183,F,0.3154,0.1096,-0.068886
Doberman Pinscher,1,DP0185,F,0.1435,-0.0982,0.108385
Doberman Pinscher,1,DP0192,M,0.2156,-0.1155,0.054693
Doberman Pinscher,1,DP0209,M,0.2267,0.0428,-0.026093
Doberman Pinscher,1,DP0218,F,0.3352,0.3121,-0.188472
Doberman Pinscher,1,DP0220,M,0.2193,-0.1084,0.019455
Doberman Pinscher,1,DP0223,M,0.223,-0.1847,0.103006
Doberman Pinscher,1,DP0240,F,0.1705,-0.1071,0.064677
Doberman Pinscher,1,DP0251,M,0.3369,-0.0016,-0.071474
Doberman Pinscher,1,DP0254,M,0.1296,0.1232,0.018153
Doberman Pinscher,1,DP0258,M,0.3125,0.0322,-0.099878
Doberman Pinscher,1,DP0263,F,0.2156,0.2906,-0.115536
Doberman Pinscher,1,DP0265,M,0.1818,0.015,0.0194
Doberman Pinscher,1,DP0266,M,0.2496,0.2562,-0.112472
Doberman Pinscher,1,DP0270,M,0.2118,0.1485,-0.076715
Doberman Pinscher,1,DP0273,M,0.2121,0.1955,-0.119377
Doberman Pinscher,1,DP0280,F,0.2496,-0.3559,0.086206
Doberman Pinscher,1,DP0282,M,0.2996,-0.0082,-0.092787
Doberman Pinscher,1,DP0286,M,0.3006,-0.042,-0.049632
Doberman Pinscher,1,DP0290,F,0.1596,-0.1382,0.089567
Doberman Pinscher,1,DP0296,M,0.2193,-0.0385,0.007395
Doberman Pinscher,1,DP0304,F,0.2674,0.1174,-0.162504
Doberman Pinscher,1,DP0305,M,0.257,0.285,-0.123371
Doberman Pinscher,1,DP0308,M,0.254,-0.1307,-0.037775
Doberman Pinscher,1,DP0322,M,0.1531,-0.0714,0.092155
Doberman Pinscher,1,DP0328,F,0.1879,0.2401,-0.029959
Doberman Pinscher,1,DP0330,F,0.2341,-0.0492,-0.040602
Doberman Pinscher,1,DP0333,F,0.2366,0.2128,-0.077413
Doberman Pinscher,1,DP0335,F,0.1435,0.0947,0.032075
Doberman Pinscher,1,DP0340,M,0.0939,0.1971,0.047907
Doberman Pinscher,1,DP0341,F,0.2629,0.16,-0.11621
Doberman Pinscher,1,DP0347,F,0.2284,-0.2289,0.091747
Doberman Pinscher,1,DP0349,F,0.1953,0.0054,0.034567
Doberman Pinscher,1,DP0352,M,0.1079,0.4185,-0.064834
Doberman Pinscher,1,DP0353,M,0.1879,-0.0187,-0.011713
Doberman Pinscher,1,DP0356,M,0.2667,0.1347,-0.037097
Doberman Pinscher,1,DP0357,F,0.1623,-0.1769,0.084184
Doberman Pinscher,1,DP0359,M,0.2529,0.2259,-0.082403
Doberman Pinscher,1,DP0364,F,0.1296,0.0049,0.038099
Doberman Pinscher,1,DP0372,M,0.2667,-0.0979,-0.002704
Doberman Pinscher,1,DP0380,F,0.3125,-0.1034,-0.072692
Doberman Pinscher,1,DP0381,M,0.1596,0.0371,0.076069
Doberman Pinscher,1,DP0385,F,0.2861,0.069,-0.147863
Doberman Pinscher,1,DP0388,F,0.3182,0.049,-0.134589
Doberman Pinscher,1,DP0393,F,0.2193,0.2776,-0.133456
Doberman Pinscher,1,DP0396,F,0.5022,-0.2029,-0.268707
Doberman Pinscher,1,DP0411,M,0.2088,0.0339,-0.089912
Doberman Pinscher,1,DP0413,F,0.3295,-0.0512,-0.108785
Doberman Pinscher,1,DP0415,M,0.1115,0.2015,0.073717
Doberman Pinscher,1,DP0422,F,0.165,0.1109,0.034292
Doberman Pinscher,1,DP0427,M,0.1788,-0.1031,0.038894
Doberman Pinscher,1,DP0429,F,0.2267,-0.0896,0.025191
Doberman Pinscher,1,DP0434,M,0.165,-0.055,0.088248
Doberman Pinscher,1,DP0435,F,0.2156,0.3072,-0.152917
Doberman Pinscher,1,DP0436,M,0.2118,-0.1295,0.090073
Doberman Pinscher,1,DP0441,M,0.2451,-0.0063,-0.020367
Doberman Pinscher,1,DP0442,M,0.2366,-0.0638,0.025727
Doberman Pinscher,1,DP0446,F,0.2304,0.065,-0.053695
Doberman Pinscher,1,DP0448,F,0.2267,-0.1985,0.016443
Doberman Pinscher,1,DP0450,F,0.1758,0.1515,-0.02367
Doberman Pinscher,1,DP0458,M,0.3182,-0.1936,-0.005068
Doberman Pinscher,1,DP0463,M,0.2325,0.0518,-0.052021
Doberman Pinscher,1,DP0464,F,0.3207,0.5355,-0.26264
Doberman Pinscher,1,DP0467,M,0.2407,0.1261,-0.095923
Doberman Pinscher,1,DP0469,M,0.3491,0.1017,-0.132426
Doberman Pinscher,1,DP0477,M,0.2193,0.1052,-0.057927
Doberman Pinscher,1,DP0480,F,0.1596,0.0271,0.001491
Doberman Pinscher,1,DP0488,F,0.3154,-0.3073,-0.02454
Doberman Pinscher,1,DP0490,F,0.2088,-0.0494,0.048369
Doberman Pinscher,1,DP0491,M,0.3614,-0.0949,-0.126439
Doberman Pinscher,1,DP0494,F,0.2529,0.1374,-0.091141
Doberman Pinscher,1,DP0499,F,0.2629,-0.0595,-0.023764
Doberman Pinscher,1,DP0502,F,0.1727,0.1377,0.005789
Doberman Pinscher,1,DP0508,M,0.1848,-0.0529,0.048148
Doberman Pinscher,1,DP0511,M,0.3182,0.2933,-0.164734
Doberman Pinscher,1,DP0514,F,0.2156,0.1503,-0.02483
Doberman Pinscher,1,DP0518,M,0.254,0.2059,-0.073175
Doberman Pinscher,1,DP0519,F,0.1569,-0.121,0.071476
Doberman Pinscher,1,DP0522,M,0.5266,-0.2817,-0.202018
Doberman Pinscher,1,DP0525,F,0.1133,0.1067,0.026844
Doberman Pinscher,1,DP0527,F,0.403,-0.0836,-0.120241
Doberman Pinscher,1,DP0531,F,0.2763,-0.0747,-0.036371
Doberman Pinscher,1,DP0533,M,0.2088,-0.0814,0.032935
Doberman Pinscher,1,DP0547,M,0.223,0.1621,-0.117803
Doberman Pinscher,1,DP0548,F,0.2203,0.3077,-0.085903
Doberman Pinscher,1,DP0549,F,0.1233,-0.0538,0.134123
Doberman Pinscher,1,DP0553,M,0.1596,0.0371,0.076069
Doberman Pinscher,1,DP0568,F,0.1677,0.2503,-0.029395
Doberman Pinscher,1,DP0577,M,0.165,0.0151,0.0288
Doberman Pinscher,1,DP0579,F,0.1435,0.3361,-0.098041
Doberman Pinscher,1,DP0581,M,0.1317,0.1299,-0.003341
Doberman Pinscher,1,DP0582,F,0.202,0.0541,0.017085
Doberman Pinscher,1,DP0588,F,0.2674,-0.0121,-0.055713
Doberman Pinscher,1,DP0589,F,0.2763,-0.0509,-0.051861
Doberman Pinscher,1,DP0594,M,0.1909,0.1482,-0.040355
Doberman Pinscher,1,DP0598,M,0.1848,-0.1763,0.103072
Doberman Pinscher,1,DP0611,M,0.1818,-0.0661,0.046423
Doberman Pinscher,1,DP0613,F,0.2839,-0.2417,-0.033615
Doberman Pinscher,1,DP0615,M,0.2529,0.0806,-0.099303
Doberman Pinscher,1,DP0617,F,0.2448,0.0825,-0.084129
Doberman Pinscher,1,DP0622,F,0.2088,0.0624,-0.056511
Doberman Pinscher,1,DP0633,F,0.1515,0.3191,-0.072011
Doberman Pinscher,1,DP0650,M,0.1296,0.0478,0.090386
Doberman Pinscher,1,DP0654,F,0.1233,0.3182,-0.049689
Doberman Pinscher,1,DP0655,M,0.1788,0.0781,0.017091
Doberman Pinscher,1,DP0658,M,0.2996,0.0361,-0.173566
Doberman Pinscher,1,DP0660,F,0.1483,0.392,-0.129797
Doberman Pinscher,1,DP0667,F,0.1697,0.057,0.030413
Doberman Pinscher,1,DP0668,M,0.2088,-0.0271,0.024641
Doberman Pinscher,1,DP0674,F,0.2715,0.1578,-0.146989
Doberman Pinscher,1,DP0683,F,0.1507,-0.0276,0.079991
Doberman Pinscher,1,DP0685,F,0.1483,0.0911,0.068765
Doberman Pinscher,1,DP0686,M,0.4538,-0.1018,-0.161135
Doberman Pinscher,1,DP0691,F,0.1953,-0.0137,-0.00959
Doberman Pinscher,1,DP0698,M,0.2054,0.3279,-0.118707
Doberman Pinscher,1,DP0715,F,0.1879,-0.1163,0.083042
Doberman Pinscher,1,DP0717,M,0.1275,0.0885,0.044659
Doberman Pinscher,1,DP0719,M,0.3308,0.0414,-0.112278
Doberman Pinscher,1,DP0725,M,0.1879,0.0828,-0.025
Doberman Pinscher,1,DP0729,M,0.1732,-0.0526,0.053641
Doberman Pinscher,1,DP0730,M,0.2861,0.0522,-0.091819
Doberman Pinscher,1,DP0732,F,0.1818,0.2009,-0.033541
Doberman Pinscher,1,DP0736,M,0.2674,-0.0248,-0.086035
Doberman Pinscher,1,DP0738,F,0.2325,-0.0225,-0.040938
Doberman Pinscher,1,DP0741,F,0.2054,0.2675,-0.072903
Doberman Pinscher,1,DP0747,F,0.2496,-0.0672,-0.032193
Doberman Pinscher,1,DP0753,M,0.1411,0.1843,-0.007618
Doberman Pinscher,1,DP0761,F,0.1254,0.0538,0.062738
Doberman Pinscher,1,DP0762,F,0.2121,0.2183,-0.096837
Doberman Pinscher,1,DP0763,M,0.2448,0.2934,-0.12905
Doberman Pinscher,1,DP0767,M,0.1596,0.0627,0.029579
Doberman Pinscher,1,DP0768,M,0.2267,0.1859,-0.136681
Doberman Pinscher,1,DP0769,M,0.1818,0.2389,-0.038716
Doberman Pinscher,1,DP0774,M,0.1697,0.3822,-0.091335
Doberman Pinscher,1,DP0775,F,0.1411,0.1828,-0.027818
Doberman Pinscher,1,DP0776,F,0.2448,0.0515,-0.032142
Doberman Pinscher,1,DP0788,F,0.3755,-0.2205,-0.088792
Doberman Pinscher,1,DP0791,M,0.1987,0.0318,-0.013128
Doberman Pinscher,1,DP0796,F,0.2366,0.034,-0.04677
Doberman Pinscher,1,DP0799,M,0.2267,-0.0069,0.021401
Doberman Pinscher,1,DP0800,F,0.2054,0.0356,0.012614
Doberman Pinscher,1,DP0803,M,0.3675,0.1365,-0.158701
Doberman Pinscher,1,DP0806,F,0.1909,0.2325,-0.104101
Doberman Pinscher,1,DP0810,M,0.2944,-0.0518,-0.111974
Doberman Pinscher,1,DP0811,M,0.1623,0.1763,-0.028068
Doberman Pinscher,1,DP0817,F,0.2958,0.0772,-0.081937
Doberman Pinscher,1,DP0823,M,0.3049,0.3159,-0.189106
Doberman Pinscher,1,DP0824,M,0.2156,-0.1294,0.081024
Doberman Pinscher,1,DP0825,M,0.2944,-0.0107,-0.100018
Doberman Pinscher,1,DP0831,M,0.1275,-0.0294,0.096274
Doberman Pinscher,1,DP0832,M,0.1987,0.2331,0.011293
Doberman Pinscher,1,DP0836,F,0.1879,0.0908,-0.009129
Doberman Pinscher,1,DP0841,F,0.2667,-0.0519,-0.03395
Doberman Pinscher,1,DP0849,M,0.1953,-0.1232,0.063147
Doberman Pinscher,1,DP0851,F,0.1987,0.0127,0.001074
Doberman Pinscher,1,DP0855,M,0.1061,0.1331,0.08536
Doberman Pinscher,1,DP0857,F,0.2121,0.1247,-0.06846
Doberman Pinscher,2,DP0006,M,0.358,-0.208,-0.04392
Doberman Pinscher,2,DP0008,F,0.1507,0.1262,0.018292
Doberman Pinscher,2,DP0009,F,0.1987,-0.0294,0.081578
Doberman Pinscher,2,DP0012,F,0.202,-0.0627,0.036053
Doberman Pinscher,2,DP0014,M,0.2629,-0.0423,-0.051691
Doberman Pinscher,2,DP0015,F,0.2496,0.1073,-0.084698
Doberman Pinscher,2,DP0016,F,0.2629,-0.2136,0.071281
Doberman Pinscher,2,DP0019,M,0.3409,-0.1249,-0.08404
Doberman Pinscher,2,DP0023,F,0.165,0.2493,-0.013762
Doberman Pinscher,2,DP0030,M,0.3049,-0.1974,-0.014687
Doberman Pinscher,2,DP0031,F,0.1459,-0.278,0.196386
Doberman Pinscher,2,DP0040,F,0.257,0.0291,-0.015344
Doberman Pinscher,2,DP0045,M,0.2366,-0.0387,0.018828
Doberman Pinscher,2,DP0048,M,0.2325,0.1888,-0.013237
Doberman Pinscher,2,DP0057,M,0.2088,-0.0355,0.058175
Doberman Pinscher,2,DP0064,M,0.2958,-0.0965,-0.022833
Doberman Pinscher,2,DP0065,M,0.1909,-0.0962,0.026432
Doberman Pinscher,2,DP0069,F,0.2629,-0.3995,0.117557
Doberman Pinscher,2,DP0070,F,0.1987,-0.1492,0.061131
Doberman Pinscher,2,DP0071,F,0.2304,-0.0482,-0.024453
Doberman Pinscher,2,DP0081,F,0.2488,-0.0549,0.031747
Doberman Pinscher,2,DP0082,M,0.1623,0.0401,0.036272
Doberman Pinscher,2,DP0090,F,0.2807,-0.3205,0.090369
Doberman Pinscher,2,DP0092,F,0.2366,0.1458,-0.031926
Doberman Pinscher,2,DP0095,F,0.254,-0.0731,0.019209
Doberman Pinscher,2,DP0098,F,0.2088,-0.0186,0.0243
Doberman Pinscher,2,DP0101,F,0.165,-0.1401,0.103976
Doberman Pinscher,2,DP0104,M,0.1953,0.0536,0.022155
Doberman Pinscher,2,DP0105,M,0.165,0.3699,-0.065166
Doberman Pinscher,2,DP0112,F,0.2448,-0.1206,0.04342
Doberman Pinscher,2,DP0113,F,0.4394,-0.0087,-0.177266
Doberman Pinscher,2,DP0114,F,0.1435,-0.1686,0.131865
Doberman Pinscher,2,DP0118,F,0.1848,0.1886,-0.041186
Doberman Pinscher,2,DP0123,F,0.1879,0.201,-0.031955
Doberman Pinscher,2,DP0124,F,0.1233,0.1597,0.057065
Doberman Pinscher,2,DP0126,M,0.1705,0.0446,0.0535
Doberman Pinscher,2,DP0129,M,0.1296,0.0494,0.056203
Doberman Pinscher,2,DP0135,M,0.1909,-0.0321,0.047591
Doberman Pinscher,2,DP0137,M,0.2629,-0.1007,0.024941
Doberman Pinscher,2,DP0140,F,0.2674,0.2515,-0.04577
Doberman Pinscher,2,DP0148,M,0.2891,0.1767,-0.117662
Doberman Pinscher,2,DP0151,F,0.2088,0.0456,-0.004348
Doberman Pinscher,2,DP0162,M,0.2193,-0.0644,-0.038662
Doberman Pinscher,2,DP0165,F,0.2341,-0.1033,0.067386
Doberman Pinscher,2,DP0177,M,0.1818,0.0703,-0.045566
Doberman Pinscher,2,DP0178,F,0.1987,0.0724,0.035356
Doberman Pinscher,2,DP0179,M,0.2304,-0.2253,0.04822
Doberman Pinscher,2,DP0180,F,0.165,0.3122,-0.030403
Doberman Pinscher,2,DP0185,F,0.1987,-0.0954,0.129008
Doberman Pinscher,2,DP0188,M,0.115,0.0202,0.114226
Doberman Pinscher,2,DP0191,M,0.2088,0.0967,-0.007465
Doberman Pinscher,2,DP0192,M,0.1987,-0.1145,0.075461
Doberman Pinscher,2,DP0195,F,0.1483,0.0756,0.023345
Doberman Pinscher,2,DP0199,M,0.2304,-0.0213,0.044097
Doberman Pinscher,2,DP0206,M,0.2407,-0.0122,-0.03029
Doberman Pinscher,2,DP0207,F,0.257,-0.2149,0.023419
Doberman Pinscher,2,DP0208,F,0.223,0.0053,-0.073708
Doberman Pinscher,2,DP0210,M,0.257,-0.0914,0.00654
Doberman Pinscher,2,DP0212,F,0.2585,-0.0326,-0.002701
Doberman Pinscher,2,DP0216,F,0.2304,-0.1427,0.070572
Doberman Pinscher,2,DP0217,F,0.2054,0.18,-0.078981
Doberman Pinscher,2,DP0222,F,0.2054,0.1084,-0.007207
Doberman Pinscher,2,DP0229,F,0.223,-0.0092,-0.031749
Doberman Pinscher,2,DP0234,F,0.2448,0.1601,-0.082646
Doberman Pinscher,2,DP0241,F,0.165,0.1435,-0.049016
Doberman Pinscher,2,DP0249,M,0.1953,-0.2143,0.094958
Doberman Pinscher,2,DP0258,M,0.2763,0.0317,-0.082739
Doberman Pinscher,2,DP0262,M,0.2488,0.0442,-0.000783
Doberman Pinscher,2,DP0264,M,0.3154,0.1704,-0.103926
Doberman Pinscher,2,DP0266,M,0.1818,0.2511,-0.084162
Doberman Pinscher,2,DP0270,M,0.1987,0.142,-0.047577
Doberman Pinscher,2,DP0282,M,0.3239,-0.0009,-0.078991
Doberman Pinscher,2,DP0286,M,0.3055,-0.047,-0.02011
Doberman Pinscher,2,DP0287,M,0.2341,-0.0938,-0.004003
Doberman Pinscher,2,DP0292,M,0.3101,0.0265,-0.025439
Doberman Pinscher,2,DP0306,F,0.2763,-0.0243,-0.062007
Doberman Pinscher,2,DP0316,M,0.2054,-0.1004,-0.01204
Doberman Pinscher,2,DP0317,F,0.2674,-0.1474,0.058547
Doberman Pinscher,2,DP0321,F,0.1953,0.2595,-0.032968
Doberman Pinscher,2,DP0322,M,0.1759,-0.0598,0.090954
Doberman Pinscher,2,DP0324,F,0.2193,-0.1587,0.051209
Doberman Pinscher,2,DP0331,F,0.47,-0.1536,-0.129066
Doberman Pinscher,2,DP0333,F,0.202,0.2165,-0.062246
Doberman Pinscher,2,DP0339,F,0.2325,-0.0663,-0.004194
Doberman Pinscher,2,DP0342,F,0.1079,0.062,0.115134
Doberman Pinscher,2,DP0343,M,0.415,-0.2003,-0.185923
Doberman Pinscher,2,DP0344,F,0.2861,0.038,-0.114578
Doberman Pinscher,2,DP0355,F,0.3798,-0.2775,-0.002458
Doberman Pinscher,2,DP0363,M,0.2488,0.2868,-0.131673
Doberman Pinscher,2,DP0378,M,0.165,-0.2568,0.131613
Doberman Pinscher,2,DP0379,F,0.1459,0.1496,0.078784
Doberman Pinscher,2,DP0383,M,0.1848,0.1474,-0.052215
Doberman Pinscher,2,DP0386,M,0.1818,-0.1202,0.11208
Doberman Pinscher,2,DP0387,M,0.1623,0.0582,0.025696
Doberman Pinscher,2,DP0398,F,0.343,-0.3296,0.073209
Doberman Pinscher,2,DP0400,M,0.165,0.2481,-0.004307
Doberman Pinscher,2,DP0410,M,0.2407,0.0246,0.036914
Doberman Pinscher,2,DP0438,M,0.1987,-0.0851,0.002843
Doberman Pinscher,2,DP0440,M,0.1705,0.088,-0.035621
Doberman Pinscher,2,DP0443,F,0.2674,0.0468,-0.10174
Doberman Pinscher,2,DP0447,M,0.1909,0.0454,0.022326
Doberman Pinscher,2,DP0448,F,0.2304,-0.202,0.045597
Doberman Pinscher,2,DP0450,F,0.2496,0.1608,-0.023775
Doberman Pinscher,2,DP0452,F,0.2325,0.0113,-0.045388
Doberman Pinscher,2,DP0453,M,0.3154,-0.1505,-0.058982
Doberman Pinscher,2,DP0459,F,0.2155,0.342,-0.143873
Doberman Pinscher,2,DP0461,M,0.2909,0.0199,-0.068412
Doberman Pinscher,2,DP0467,M,0.1879,0.1321,-0.08758
Doberman Pinscher,2,DP0470,M,0.1275,0.1133,0.024925
Doberman Pinscher,2,DP0473,M,0.2304,-0.1629,0.070662
Doberman Pinscher,2,DP0477,M,0.2267,0.1059,-0.039324
Doberman Pinscher,2,DP0478,F,0.2267,0.0015,-0.024298
Doberman Pinscher,2,DP0485,F,0.1879,0.1749,0.002477
Doberman Pinscher,2,DP0492,F,0.2379,-0.0196,-0.050799
Doberman Pinscher,2,DP0501,M,0.1677,0.2283,0.030465
Doberman Pinscher,2,DP0503,M,0.2325,-0.0361,0.017619
Doberman Pinscher,2,DP0508,M,0.1879,-0.0437,0.058667
Doberman Pinscher,2,DP0509,F,0.2304,0.1394,-0.065727
Doberman Pinscher,2,DP0514,F,0.223,0.1552,-0.022976
Doberman Pinscher,2,DP0515,M,0.2764,0.0789,-0.05437
Doberman Pinscher,2,DP0516,F,0.0924,0.5661,-0.109697
Doberman Pinscher,2,DP0521,M,0.2674,-0.15,-0.022754
Doberman Pinscher,2,DP0530,M,0.1987,-0.0068,0.062023
Doberman Pinscher,2,DP0531,F,0.3154,-0.0735,-0.019138
Doberman Pinscher,2,DP0538,M,0.2674,-0.1772,-0.01683
Doberman Pinscher,2,DP0539,M,0.2488,-0.1414,0.068222
Doberman Pinscher,2,DP0540,F,0.165,-0.0818,0.106674
Doberman Pinscher,2,DP0542,M,0.1435,-0.0318,0.026403
Doberman Pinscher,2,DP0546,M,0.2488,-0.0127,0.002591
Doberman Pinscher,2,DP0572,M,0.2861,0.3597,-0.134151
Doberman Pinscher,2,DP0576,M,0.4084,0.1302,-0.214231
Doberman Pinscher,2,DP0577,M,0.202,0.0179,0.04585
Doberman Pinscher,2,DP0579,F,0.1596,0.3418,-0.085456
Doberman Pinscher,2,DP0591,M,0.5266,-0.2576,-0.148386
Doberman Pinscher,2,DP0599,M,0.1818,0.1097,0.013716
Doberman Pinscher,2,DP0601,F,0.403,0.298,-0.225412
Doberman Pinscher,2,DP0605,M,0.2585,-0.2765,0.035956
Doberman Pinscher,2,DP0607,M,0.3953,-0.1825,-0.105198
Doberman Pinscher,2,DP0608,F,0.2764,0.0972,-0.139954
Doberman Pinscher,2,DP0610,F,0.1848,0.0674,0.03055
Doberman Pinscher,2,DP0612,F,0.1623,-0.0176,0.06341
Doberman Pinscher,2,DP0613,F,0.2944,-0.2401,-0.017745
Doberman Pinscher,2,DP0615,M,0.2379,0.0812,-0.091104
Doberman Pinscher,2,DP0624,F,0.3352,-0.0957,-0.078298
Doberman Pinscher,2,DP0636,M,0.1758,0.038,0.014369
Doberman Pinscher,2,DP0643,M,0.2081,0.2187,-0.065198
Doberman Pinscher,2,DP0650,M,0.1296,0.0531,0.101248
Doberman Pinscher,2,DP0656,M,0.2807,0.2334,-0.105476
Doberman Pinscher,2,DP0658,M,0.2812,0.0247,-0.125627
Doberman Pinscher,2,DP0661,M,0.1133,0.2866,-0.001685
Doberman Pinscher,2,DP0665,M,0.1677,-0.0846,0.054059
Doberman Pinscher,2,DP0666,F,0.6189,-0.1978,-0.222202
Doberman Pinscher,2,DP0671,M,0.2088,-0.0482,0.029869
Doberman Pinscher,2,DP0672,F,0.1788,-0.059,0.074664
Doberman Pinscher,2,DP0675,F,0.254,-0.2288,0.089692
Doberman Pinscher,2,DP0676,M,0.3523,-0.3294,0.038431
Doberman Pinscher,2,DP0679,F,0.257,-0.1356,0.022623
Doberman Pinscher,2,DP0683,F,0.1879,-0.0195,0.084056
Doberman Pinscher,2,DP0686,M,0.47,-0.1012,-0.139309
Doberman Pinscher,2,DP0696,F,0.2674,-0.0509,-0.021096
Doberman Pinscher,2,DP0703,F,0.2304,0.0744,-0.013037
Doberman Pinscher,2,DP0705,F,0.2763,-0.138,0.050694
Doberman Pinscher,2,DP0710,F,0.202,-0.0363,0.0588
Doberman Pinscher,2,DP0722,F,0.1987,-0.0278,0.108264
Doberman Pinscher,2,DP0727,F,0.2674,-0.0021,-0.042375
Doberman Pinscher,2,DP0729,M,0.2304,-0.0377,0.045336
Doberman Pinscher,2,DP0730,M,0.2529,0.0532,-0.075422
Doberman Pinscher,2,DP0733,F,0.2585,0.0816,-0.041352
Doberman Pinscher,2,DP0740,M,0.2488,-0.1095,0.035163
Doberman Pinscher,2,DP0744,M,0.1507,0.2986,-0.014926
Doberman Pinscher,2,DP0748,F,0.1705,0.0878,-0.027898
Doberman Pinscher,2,DP0749,F,0.3049,-0.0246,-0.043183
Doberman Pinscher,2,DP0753,M,0.1435,0.1915,-0.009313
Doberman Pinscher,2,DP0761,F,0.1411,0.0437,0.096935
Doberman Pinscher,2,DP0764,F,0.1677,0.0969,-0.049248
Doberman Pinscher,2,DP0772,F,0.2812,0.1709,-0.132469
Doberman Pinscher,2,DP0783,M,0.2448,0.1477,-0.06586
Doberman Pinscher,2,DP0786,F,0.2156,0.181,0.013921
Doberman Pinscher,2,DP0788,F,0.3614,-0.2249,-0.064446
Doberman Pinscher,2,DP0791,M,0.165,0.0257,0.013801
Doberman Pinscher,2,DP0793,M,0.3953,0.0431,-0.176202
Doberman Pinscher,2,DP0798,F,0.1879,0.2031,-0.058941
Doberman Pinscher,2,DP0802,M,0.1296,0.1254,0.019744
Doberman Pinscher,2,DP0805,F,0.115,-0.0063,0.168397
Doberman Pinscher,2,DP0812,M,0.3182,-0.3796,0.050934
Doberman Pinscher,2,DP0816,M,0.1459,0.3534,-0.032116
Doberman Pinscher,2,DP0818,F,0.202,-0.1026,0.003427
Doberman Pinscher,2,DP0819,F,0.2193,-0.0276,-0.003155
Doberman Pinscher,2,DP0820,F,0.165,0.4265,-0.081596
Doberman Pinscher,2,DP0839,M,0.1909,0.208,-0.070078
Doberman Pinscher,2,DP0840,M,0.223,0.1547,-0.054728
Doberman Pinscher,2,DP0842,M,0.2304,-0.0188,0.033838
Doberman Pinscher,2,DP0846,M,0.2718,-0.2113,0.023292
Doberman Pinscher,2,DP0847,F,0.1338,0.2107,0.022313
Doberman Pinscher,2,DP0848,M,0.2341,0.1236,-0.088602
Doberman Pinscher,2,DP0851,F,0.1818,0.0081,0.032059
Doberman Pinscher,2,DP0853,M,0.4101,-0.1889,-0.168895
Doberman Pinscher,2,DP0854,F,0.1953,0.1578,-0.041555
Doberman Pinscher,2,DP0856,F,0.1909,-0.1156,0.073027
Doberman Pinscher,2,DP0857,F,0.1939,0.1297,-0.051126
Doberman Pinscher,3,DP0005,F,0.2304,0.155,-0.067782
