id,strategy,breed_suffix,breed_id,replicate_num,completed_at,pop_size,loci,gen0_he,gen20_he,he_delta,gen0_ho,gen20_ho,ho_delta,gen0_fis,gen20_fis,fis_delta,gen0_ne,gen20_ne,ne_delta,gen0_na,gen20_na,na_delta,gen0_total_alleles,gen20_total_alleles,total_alleles_delta,gen0_oi,gen20_oi,oi_delta,gen0_ir,gen20_ir,ir_delta,gen0_band_infr,gen20_band_infr,band_infr_delta,gen0_band_norm,gen20_band_norm,band_norm_delta,gen0_band_hfreq,gen20_band_hfreq,band_hfreq_delta
156,RANDOM,dp,16,39,2026-07-15 04:26:38,200,33,0.5013,0.4917,-0.0096,0.4815,0.4921,0.0106,0.0416,-0.0009,-0.0425,2.3026,2.2611,-0.0415,6.12,4.33,-1.79,202,143,-59,0.209706,0.26996,0.060254,0.041277,0.003366,-0.037911,0.628713,0.53846,-0.090253,0.089109,0.11189,0.022781,0.282178,0.34965,0.067472
157,OI,dp,16,40,2026-07-15 04:28:51,200,33,0.5033,0.7928,0.2895,0.4829,0.7927,0.3098,0.0381,-0.0009,-0.039,2.3268,5.3587,3.0319,5.82,5.48,-0.34,192,181,-11,0.268836,1.72628,1.45744,0.04377,0.000817,-0.042953,0.614583,0.03867,-0.575913,0.119792,0.9337,0.813908,0.265625,0.02762,-0.238005
158,IR,dp,16,40,2026-07-15 04:30:59,200,33,0.5033,0.641,0.1377,0.4829,0.723,0.2401,0.0381,-0.131,-0.1691,2.3268,3.0257,0.6989,5.82,4.79,-1.03,192,158,-34,0.268836,0.395086,0.12625,0.04377,-0.130628,-0.174398,0.614583,0.46835,-0.146233,0.119792,0.17089,0.051098,0.265625,0.36076,0.095135
159,AGR,dp,16,40,2026-07-15 04:33:55,200,33,0.5033,0.7542,0.2509,0.4829,0.7055,0.2226,0.0381,0.0686,0.0305,2.3268,4.9152,2.5884,5.82,5.27,-0.55,192,174,-18,0.268836,1.061,0.792164,0.04377,0.063044,0.019274,0.614583,0.13793,-0.476653,0.119792,0.75287,0.633078,0.265625,0.1092,-0.156425
160,RANDOM,dp,16,40,2026-07-15 04:35:51,200,33,0.5033,0.5049,0.0016,0.4829,0.5088,0.0259,0.0381,-0.0035,-0.0416,2.3268,2.2968,-0.03,5.82,4.3,-1.52,192,142,-50,0.268836,0.359868,0.091032,0.04377,-0.000113,-0.043883,0.614583,0.54225,-0.072333,0.119792,0.14085,0.021058,0.265625,0.3169,0.051275
161,OI,dp,16,41,2026-07-15 04:38:07,200,33,0.5032,0.7937,0.2905,0.4792,0.805,0.3258,0.0459,-0.0151,-0.061,2.3102,5.6066,3.2964,6.12,5.73,-0.39,202,189,-13,0.213909,1.96975,1.75584,0.051028,-0.014145,-0.065173,0.628713,0.04762,-0.581093,0.089109,0.93651,0.847401,0.282178,0.01587,-0.266308
162,IR,dp,16,41,2026-07-15 04:40:19,200,33,0.5032,0.6613,0.1581,0.4792,0.737,0.2578,0.0459,-0.119,-0.1649,2.3102,3.168,0.8578,6.12,4.82,-1.3,202,159,-43,0.213909,0.412494,0.198585,0.051028,-0.117174,-0.168202,0.628713,0.43396,-0.194753,0.089109,0.20755,0.118441,0.282178,0.35849,0.076312
163,AGR,dp,16,41,2026-07-15 04:43:10,200,33,0.5032,0.7723,0.2691,0.4792,0.7215,0.2423,0.0459,0.0697,0.0238,2.3102,5.2512,2.941,6.12,5.67,-0.45,202,187,-15,0.213909,1.04817,0.834261,0.051028,0.064517,0.013489,0.628713,0.13904,-0.489673,0.089109,0.71123,0.622121,0.282178,0.14973,-0.132448
164,RANDOM,dp,16,41,2026-07-15 04:45:05,200,33,0.5032,0.4877,-0.0155,0.4792,0.4938,0.0146,0.0459,-0.0131,-0.059,2.3102,2.1988,-0.1114,6.12,4.15,-1.97,202,137,-65,0.213909,0.32347,0.109561,0.051028,-0.009865,-0.060893,0.628713,0.52555,-0.103163,0.089109,0.16058,0.071471,0.282178,0.31387,0.031692
165,OI,dp,16,42,2026-07-15 04:51:39,200,33,0.5017,0.7788,0.2771,0.4814,0.7861,0.3047,0.0462,-0.0095,-0.0557,2.3098,5.0928,2.783,5.61,5.21,-0.4,185,172,-13,0.23397,2.37018,2.13621,0.04292,-0.008352,-0.051272,0.605405,0.0407,-0.564705,0.108108,0.92442,0.816312,0.286486,0.03488,-0.251606
166,IR,dp,16,42,2026-07-15 04:53:34,200,33,0.5017,0.6358,0.1341,0.4814,0.7095,0.2281,0.0462,-0.1183,-0.1645,2.3098,2.9684,0.6586,5.61,4.61,-1,185,152,-33,0.23397,0.369646,0.135676,0.04292,-0.116629,-0.159549,0.605405,0.45395,-0.151455,0.108108,0.17105,0.062942,0.286486,0.375,0.088514
167,AGR,dp,16,42,2026-07-15 04:56:26,200,33,0.5017,0.7708,0.2691,0.4814,0.7091,0.2277,0.0462,0.0836,0.0374,2.3098,4.9273,2.6175,5.61,5.15,-0.46,185,170,-15,0.23397,1.40303,1.16906,0.04292,0.079168,0.036248,0.605405,0.08824,-0.517165,0.108108,0.81765,0.709542,0.286486,0.09412,-0.192366
168,RANDOM,dp,16,42,2026-07-15 04:58:23,200,33,0.5017,0.4736,-0.0281,0.4814,0.4818,0.0004,0.0462,-0.0141,-0.0603,2.3098,2.1242,-0.1856,5.61,4.21,-1.4,185,139,-46,0.23397,0.296541,0.062571,0.04292,-0.013683,-0.056603,0.605405,0.58273,-0.022675,0.108108,0.10791,-0.000198,0.286486,0.30935,0.022864
169,OI,dp,16,43,2026-07-15 05:00:36,200,33,0.5002,0.7799,0.2797,0.4918,0.7721,0.2803,0.0181,0.0102,-0.0079,2.3078,5.2614,2.9536,5.76,5.36,-0.4,190,177,-13,0.25182,1.9362,1.68438,0.018933,0.01073,-0.008203,0.615789,0.05085,-0.564939,0.110526,0.9209,0.810374,0.273684,0.02825,-0.245434
170,IR,dp,16,43,2026-07-15 05:02:43,200,33,0.5002,0.6354,0.1352,0.4918,0.7118,0.22,0.0181,-0.1211,-0.1392,2.3078,3.0158,0.708,5.76,4.61,-1.15,190,152,-38,0.25182,0.428065,0.176245,0.018933,-0.121204,-0.140137,0.615789,0.46053,-0.155259,0.110526,0.20395,0.093424,0.273684,0.33553,0.061846
171,AGR,dp,16,43,2026-07-15 05:05:40,200,33,0.5002,0.7696,0.2694,0.4918,0.7185,0.2267,0.0181,0.0717,0.0536,2.3078,5.145,2.8372,5.76,5.48,-0.28,190,181,-9,0.25182,1.1872,0.93538,0.018933,0.064371,0.045438,0.615789,0.1326,-0.483189,0.110526,0.74033,0.629804,0.273684,0.12707,-0.146614
172,RANDOM,dp,16,43,2026-07-15 05:07:39,200,33,0.5002,0.4708,-0.0294,0.4918,0.4659,-0.0259,0.0181,0.008,-0.0101,2.3078,2.2265,-0.0813,5.76,4.27,-1.49,190,141,-49,0.25182,0.295445,0.043625,0.018933,0.015817,-0.003116,0.615789,0.5461,-0.069689,0.110526,0.12057,0.010044,0.273684,0.33333,0.059646
173,OI,dp,16,44,2026-07-15 05:09:47,200,33,0.503,0.7904,0.2874,0.4783,0.7912,0.3129,0.0456,-0.0012,-0.0468,2.3018,5.4075,3.1057,5.97,5.55,-0.42,197,183,-14,0.227843,2.35934,2.1315,0.051516,-0.000231,-0.051747,0.619289,0.04372,-0.575569,0.106599,0.89071,0.784111,0.274112,0.06557,-0.208542
174,IR,dp,16,44,2026-07-15 05:11:56,200,33,0.503,0.6504,0.1474,0.4783,0.7348,0.2565,0.0456,-0.1357,-0.1813,2.3018,3.088,0.7862,5.97,4.82,-1.15,197,159,-38,0.227843,0.442128,0.214285,0.051516,-0.13393,-0.185446,0.619289,0.44654,-0.172749,0.106599,0.20755,0.100951,0.274112,0.34591,0.071798
175,AGR,dp,16,44,2026-07-15 05:15:00,200,33,0.503,0.7575,0.2545,0.4783,0.7038,0.2255,0.0456,0.0721,0.0265,2.3018,5.0281,2.7263,5.97,5.39,-0.58,197,178,-19,0.227843,1.05717,0.829327,0.051516,0.069113,0.017597,0.619289,0.13483,-0.484459,0.106599,0.74157,0.634971,0.274112,0.1236,-0.150512
176,RANDOM,dp,16,44,2026-07-15 05:17:04,200,33,0.503,0.4928,-0.0102,0.4783,0.4909,0.0126,0.0456,0.0008,-0.0448,2.3018,2.2474,-0.0544,5.97,4.33,-1.64,197,143,-54,0.227843,0.388924,0.161081,0.051516,0.006527,-0.044989,0.619289,0.55944,-0.059849,0.106599,0.13287,0.026271,0.274112,0.30769,0.033578
177,OI,dp,16,45,2026-07-15 05:19:21,200,33,0.5068,0.7843,0.2775,0.4832,0.8003,0.3171,0.0445,-0.0216,-0.0661,2.3451,5.242,2.8969,5.85,5.36,-0.49,193,177,-16,0.261414,2.1028,1.84139,0.049195,-0.01966,-0.068855,0.611399,0.0339,-0.577499,0.124352,0.93785,0.813498,0.264249,0.02825,-0.235999
178,IR,dp,16,45,2026-07-15 05:21:32,200,33,0.5068,0.6512,0.1444,0.4832,0.7327,0.2495,0.0445,-0.127,-0.1715,2.3451,3.091,0.7459,5.85,4.7,-1.15,193,155,-38,0.261414,0.4415,0.180086,0.049195,-0.128626,-0.177821,0.611399,0.43871,-0.172689,0.124352,0.19355,0.069198,0.264249,0.36774,0.103491
179,AGR,dp,16,45,2026-07-15 05:24:24,200,33,0.5068,0.7814,0.2746,0.4832,0.7342,0.251,0.0445,0.0646,0.0201,2.3451,5.2048,2.8597,5.85,5.45,-0.4,193,180,-13,0.261414,1.19104,0.929626,0.049195,0.059018,0.009823,0.611399,0.09444,-0.516959,0.124352,0.81111,0.686758,0.264249,0.09444,-0.169809
180,RANDOM,dp,16,45,2026-07-15 05:26:23,200,33,0.5068,0.49,-0.0168,0.4832,0.4879,0.0047,0.0445,0.0031,-0.0414,2.3451,2.3077,-0.0374,5.85,4.39,-1.46,193,145,-48,0.261414,0.305267,0.043853,0.049195,0.006217,-0.042978,0.611399,0.53103,-0.080369,0.124352,0.15172,0.027368,0.264249,0.31724,0.052991
181,OI,dp,16,46,2026-07-15 05:28:32,200,33,0.4956,0.7871,0.2915,0.4712,0.7911,0.3199,0.0473,-0.0059,-0.0532,2.2819,5.1802,2.8983,5.97,5.33,-0.64,197,176,-21,0.248138,1.67368,1.42554,0.050861,-0.003434,-0.054295,0.634518,0.03977,-0.594748,0.106599,0.90909,0.802491,0.258883,0.05114,-0.207743
182,IR,dp,16,46,2026-07-15 05:30:45,200,33,0.4956,0.6528,0.1572,0.4712,0.7324,0.2612,0.0473,-0.1272,-0.1745,2.2819,3.0661,0.7842,5.97,4.64,-1.33,197,153,-44,0.248138,0.459111,0.210973,0.050861,-0.123669,-0.17453,0.634518,0.47059,-0.163928,0.106599,0.17647,0.069871,0.258883,0.35294,0.094057
183,AGR,dp,16,46,2026-07-15 05:33:41,200,33,0.4956,0.7718,0.2762,0.4712,0.7264,0.2552,0.0473,0.0602,0.0129,2.2819,5.1151,2.8332,5.97,5.52,-0.45,197,182,-15,0.248138,1.0299,0.781762,0.050861,0.056545,0.005684,0.634518,0.14286,-0.491658,0.106599,0.75824,0.651641,0.258883,0.0989,-0.159983
184,RANDOM,dp,16,46,2026-07-15 05:35:44,200,33,0.4956,0.486,-0.0096,0.4712,0.483,0.0118,0.0473,-0.0027,-0.05,2.2819,2.2349,-0.047,5.97,4.33,-1.64,197,143,-54,0.248138,0.328073,0.079935,0.050861,0.014175,-0.036686,0.634518,0.57343,-0.061088,0.106599,0.13287,0.026271,0.258883,0.29371,0.034827
185,OI,dp,16,47,2026-07-15 05:52:06,200,33,0.5007,0.794,0.2933,0.4805,0.8067,0.3262,0.0381,-0.0151,-0.0532,2.3104,5.4914,3.181,6.21,5.67,-0.54,205,187,-18,0.215404,2.47092,2.25552,0.043662,-0.014849,-0.058511,0.634146,0.05348,-0.580666,0.087805,0.86631,0.778505,0.278049,0.08021,-0.197839
186,IR,dp,16,47,2026-07-15 05:54:04,200,33,0.5007,0.649,0.1483,0.4805,0.7342,0.2537,0.0381,-0.1332,-0.1713,2.3104,3.0908,0.7804,6.21,5.06,-1.15,205,167,-38,0.215404,0.39724,0.181836,0.043662,-0.133519,-0.177181,0.634146,0.47904,-0.155106,0.087805,0.16766,0.079855,0.278049,0.35329,0.075241
187,AGR,dp,16,47,2026-07-15 05:56:55,200,33,0.5007,0.7797,0.279,0.4805,0.727,0.2465,0.0381,0.0705,0.0324,2.3104,5.1367,2.8263,6.21,5.55,-0.66,205,183,-22,0.215404,1.17508,0.959676,0.043662,0.065346,0.021684,0.634146,0.14208,-0.492066,0.087805,0.71585,0.628045,0.278049,0.14208,-0.135969
188,RANDOM,dp,16,47,2026-07-15 05:58:49,200,33,0.5007,0.5094,0.0087,0.4805,0.5102,0.0297,0.0381,0.0021,-0.036,2.3104,2.3292,0.0188,6.21,4.36,-1.85,205,144,-61,0.215404,0.345119,0.129715,0.043662,0.003823,-0.039839,0.634146,0.54167,-0.092476,0.087805,0.15972,0.071915,0.278049,0.29861,0.020561
189,OI,dp,16,48,2026-07-15 06:01:05,200,33,0.5019,0.7914,0.2895,0.4848,0.7973,0.3125,0.0334,-0.0074,-0.0408,2.3149,5.3311,3.0162,5.94,5.45,-0.49,196,180,-16,0.249495,2.66335,2.41386,0.036724,-0.006316,-0.04304,0.617347,0.03889,-0.578457,0.112245,0.92222,0.809975,0.270408,0.03889,-0.231518
190,IR,dp,16,48,2026-07-15 06:03:18,200,33,0.5019,0.645,0.1431,0.4848,0.7202,0.2354,0.0334,-0.1182,-0.1516,2.3149,3.0971,0.7822,5.94,4.67,-1.27,196,154,-42,0.249495,0.457443,0.207948,0.036724,-0.119708,-0.156432,0.617347,0.44156,-0.175787,0.112245,0.20779,0.095545,0.270408,0.35065,0.080242
191,AGR,dp,16,48,2026-07-15 06:06:08,200,33,0.5019,0.769,0.2671,0.4848,0.7339,0.2491,0.0334,0.0473,0.0139,2.3149,5.0791,2.7642,5.94,5.45,-0.49,196,180,-16,0.249495,1.13078,0.881285,0.036724,0.043746,0.007022,0.617347,0.13889,-0.478457,0.112245,0.73333,0.621085,0.270408,0.12778,-0.142628
192,RANDOM,dp,16,48,2026-07-15 06:08:07,200,33,0.5019,0.4777,-0.0242,0.4848,0.4814,-0.0034,0.0334,-0.0099,-0.0433,2.3149,2.2135,-0.1014,5.94,4.36,-1.58,196,144,-52,0.249495,0.267576,0.018081,0.036724,-0.002689,-0.039413,0.617347,0.55556,-0.061787,0.112245,0.13194,0.019695,0.270408,0.3125,0.042092
193,OI,dp,16,49,2026-07-15 06:10:20,200,33,0.5092,0.8005,0.2913,0.4824,0.8092,0.3268,0.0515,-0.0112,-0.0627,2.3369,5.6111,3.2742,6.15,5.85,-0.3,203,193,-10,0.207322,1.39973,1.19241,0.056231,-0.009533,-0.065764,0.625616,0.08808,-0.537536,0.083744,0.83938,0.755636,0.29064,0.07254,-0.2181
194,IR,dp,16,49,2026-07-15 06:12:28,200,33,0.5092,0.6478,0.1386,0.4824,0.7276,0.2452,0.0515,-0.1275,-0.179,2.3369,3.074,0.7371,6.15,4.76,-1.39,203,157,-46,0.207322,0.454524,0.247202,0.056231,-0.12602,-0.182251,0.625616,0.45223,-0.173386,0.083744,0.19108,0.107336,0.29064,0.35669,0.06605
195,AGR,dp,16,49,2026-07-15 06:15:27,200,33,0.5092,0.7709,0.2617,0.4824,0.7292,0.2468,0.0515,0.0576,0.0061,2.3369,5.1186,2.7817,6.15,5.45,-0.7,203,180,-23,0.207322,1.05367,0.846348,0.056231,0.052016,-0.004215,0.625616,0.11111,-0.514506,0.083744,0.77222,0.688476,0.29064,0.11667,-0.17397
196,RANDOM,dp,16,49,2026-07-15 06:17:26,200,33,0.5092,0.5009,-0.0083,0.4824,0.5024,0.02,0.0515,-0.0025,-0.054,2.3369,2.3544,0.0175,6.15,4.61,-1.54,203,152,-51,0.207322,0.341693,0.134371,0.056231,-0.000599,-0.05683,0.625616,0.54605,-0.079566,0.083744,0.16447,0.080726,0.29064,0.28947,-0.00117
197,OI,dp,16,50,2026-07-15 06:19:39,200,33,0.5078,0.796,0.2882,0.4833,0.7895,0.3062,0.0453,0.0101,-0.0352,2.3191,5.6078,3.2887,6.15,5.79,-0.36,203,191,-12,0.227635,1.67314,1.44551,0.051533,0.008873,-0.04266,0.635468,0.06806,-0.567408,0.08867,0.86387,0.7752,0.275862,0.06806,-0.207802
198,IR,dp,16,50,2026-07-15 06:21:51,200,33,0.5078,0.6563,0.1485,0.4833,0.7321,0.2488,0.0453,-0.1202,-0.1655,2.3191,3.1274,0.8083,6.15,4.91,-1.24,203,162,-41,0.227635,0.405589,0.177954,0.051533,-0.120185,-0.171718,0.635468,0.47531,-0.160158,0.08867,0.18519,0.09652,0.275862,0.33951,0.063648
199,AGR,dp,16,50,2026-07-15 06:24:45,200,33,0.5078,0.7836,0.2758,0.4833,0.7294,0.2461,0.0453,0.0725,0.0272,2.3191,5.2352,2.9161,6.15,5.64,-0.51,203,186,-17,0.227635,1.13417,0.906535,0.051533,0.067643,0.01611,0.635468,0.13441,-0.501058,0.08867,0.74731,0.65864,0.275862,0.11828,-0.157582
200,RANDOM,dp,16,50,2026-07-15 06:26:45,200,33,0.5078,0.466,-0.0418,0.4833,0.4576,-0.0257,0.0453,0.0107,-0.0346,2.3191,2.1169,-0.2022,6.15,4.27,-1.88,203,141,-62,0.227635,0.288051,0.060416,0.051533,0.028082,-0.023451,0.635468,0.58865,-0.046818,0.08867,0.09929,0.01062,0.275862,0.31206,0.036198
201,OI,dp,16,18,2026-07-15 06:28:53,200,33,0.5046,0.7824,0.2778,0.4895,0.7865,0.297,0.0295,-0.0066,-0.0361,2.3283,5.3745,3.0462,5.79,5.52,-0.27,191,182,-9,0.233049,2.26432,2.03127,0.032673,-0.003808,-0.036481,0.612565,0.04945,-0.563115,0.099476,0.89011,0.790634,0.287958,0.06044,-0.227518
202,IR,dp,16,18,2026-07-15 06:31:00,200,33,0.5046,0.6464,0.1418,0.4895,0.723,0.2335,0.0295,-0.1213,-0.1508,2.3283,3.0761,0.7478,5.79,4.73,-1.06,191,156,-35,0.233049,0.433192,0.200143,0.032673,-0.118414,-0.151087,0.612565,0.46154,-0.151025,0.099476,0.17949,0.080014,0.287958,0.35897,0.071012
203,AGR,dp,16,18,2026-07-15 06:33:50,200,33,0.5046,0.7634,0.2588,0.4895,0.7056,0.2161,0.0295,0.0819,0.0524,2.3283,5.0183,2.69,5.79,5.15,-0.64,191,170,-21,0.233049,1.62967,1.39662,0.032673,0.074837,0.042164,0.612565,0.07059,-0.541975,0.099476,0.86471,0.765234,0.287958,0.06471,-0.223248
204,RANDOM,dp,16,18,2026-07-15 06:35:46,200,33,0.5046,0.503,-0.0016,0.4895,0.4968,0.0073,0.0295,0.0121,-0.0174,2.3283,2.2823,-0.046,5.79,4.33,-1.46,191,143,-48,0.233049,0.282119,0.04907,0.032673,0.012718,-0.019955,0.612565,0.53846,-0.074105,0.099476,0.12587,0.026394,0.287958,0.33566,0.047702
